session,row,classification,mask_area_pct,confidence,n_person_predictions,orig_n_components,post_cleanup_n_components,dropped,wall_seconds
D2,1328,clean,6.2533,0.794,4,1,2,False,0.98
D2,1345,clean,5.6038,0.2849,1,1,1,False,0.223
D2,1362,clean,5.9957,0.5497,2,1,1,False,0.197
D2,1379,clean,5.8623,0.2361,4,1,1,False,0.219
D2,1396,pathological_no_mask,0.0,0.0,0,0,0,True,0.223
D2,1413,fragmented_resolved,2.2881,0.6198,2,2,1,False,0.225
D2,1430,pathological_too_small,0.8634,0.0956,1,1,1,True,0.208
D2,1447,clean,4.8532,0.8235,1,1,1,False,0.216
D2,1464,clean,6.0041,0.9084,3,1,1,False,0.199
D2,1481,fragmented_resolved,3.454,0.1396,1,2,1,False,0.208
D2,1498,clean,5.2881,0.1471,1,1,1,False,0.201
D2,1515,fragmented_resolved,3.7306,0.1177,4,2,1,False,0.222
D2,1532,clean,6.7922,0.9166,2,1,1,False,0.207
D2,1549,clean,5.9105,0.9278,1,1,1,False,0.207
D2,1566,clean,5.943,0.949,1,1,1,False,0.201
D2,1583,clean,6.066,0.9682,3,1,1,False,0.217
D2,1600,clean,5.7999,0.4071,3,1,1,False,0.212
D2,1617,clean,6.5164,0.2673,1,1,1,False,0.209
D2,1634,clean,6.245,0.2426,1,1,1,False,0.211
D2,1651,fragmented_resolved,5.9116,0.9573,6,2,1,False,0.215
D2,2826,clean,3.4079,0.0697,2,1,1,False,0.216
D2,2843,clean,4.6982,0.1272,1,1,1,False,0.222
D2,2860,pathological_no_mask,0.0,0.0,0,0,0,True,0.195
D2,2877,pathological_too_small,0.4036,0.0713,2,1,1,True,0.198
D2,2894,pathological_no_mask,0.0,0.0,0,0,0,True,0.213
D2,2911,clean,2.5583,0.1327,1,1,1,False,0.252
D2,2928,clean,3.6481,0.1371,2,1,1,False,0.216
D2,2945,pathological_no_mask,0.0,0.0,0,0,0,True,0.211
D2,2962,pathological_no_mask,0.0,0.0,0,0,0,True,0.198
D2,2979,clean,4.0592,0.3674,2,1,1,False,0.206
D2,2996,pathological_too_small,0.7636,0.3563,2,1,1,True,0.219
D2,3013,clean,4.6597,0.2069,1,1,1,False,0.215
D2,3030,clean,5.5977,0.6594,4,1,1,False,0.246
D2,3047,clean,5.5021,0.5913,2,1,1,False,0.215
D2,3064,clean,5.3848,0.5758,2,1,1,False,0.209
D2,3081,clean,5.09,0.5573,5,1,1,False,0.235
D2,3098,clean,6.7909,0.9795,3,1,1,False,0.193
D2,3115,clean,6.3136,0.9738,5,1,1,False,0.211
D2,3132,clean,6.8705,0.9448,2,1,1,False,0.21
D2,3149,clean,6.6769,0.9927,4,1,1,False,0.212
D2,4324,clean,2.6834,0.7573,2,1,1,False,0.215
D2,4341,pathological_no_mask,0.0,0.0,0,0,0,True,0.215
D2,4358,clean,3.3943,0.1169,2,1,1,False,0.216
D2,4375,clean,3.1342,0.9954,2,1,1,False,0.207
D2,4392,clean,3.7849,0.2585,2,1,1,False,0.217
D2,4409,pathological_no_mask,0.0,0.0,0,0,0,True,0.215
D2,4426,clean,3.8203,0.8416,2,1,1,False,0.222
D2,4443,clean,4.8114,0.4226,1,1,1,False,0.218
D2,4460,clean,4.962,0.995,7,1,1,False,0.201
D2,4477,clean,5.2556,0.9781,4,1,1,False,0.209
D2,4494,clean,4.3597,0.1432,1,1,1,False,0.23
D2,4511,clean,3.324,0.1549,1,1,1,False,0.209
D2,4528,clean,3.6826,0.1879,2,1,1,False,0.201
D2,4545,clean,3.8653,0.9109,2,1,1,False,0.207
D2,4562,clean,3.9591,0.9693,1,1,1,False,0.214
D2,4579,clean,4.5429,0.4677,1,1,1,False,0.213
D2,4596,clean,4.5177,0.9946,2,1,1,False,0.209
D2,4613,fragmented_resolved,4.9884,0.8399,5,2,1,False,0.232
D2,4630,clean,4.6769,0.9761,7,1,1,False,0.204
D2,4647,clean,4.8103,0.9973,2,1,1,False,0.217
V10,1140,pathological_no_mask,0.0,0.0,0,0,0,True,0.21
V10,1146,clean,5.0874,0.3632,1,1,1,False,0.223
V10,1153,pathological_no_mask,0.0,0.0,0,0,0,True,0.219
V10,1159,clean,4.9208,0.6815,1,1,1,False,0.211
V10,1165,clean,5.0377,0.7632,1,1,1,False,0.223
V10,1172,fragmented_resolved,3.5946,0.9065,1,2,1,False,0.231
V10,1178,clean,4.5149,0.1781,2,1,1,False,0.212
V10,1184,clean,3.6877,0.1708,1,1,1,False,0.201
V10,1191,pathological_too_small,1.8061,0.0862,2,1,1,True,0.231
V10,1197,pathological_no_mask,0.0,0.0,0,0,0,True,0.228
V10,1203,clean,4.7143,0.997,2,1,1,False,0.212
V10,1210,clean,4.132,0.1588,1,1,1,False,0.205
V10,1216,clean,4.791,0.981,3,1,1,False,0.198
V10,1222,clean,4.751,0.6053,2,1,1,False,0.214
V10,1229,fragmented_resolved,4.77,0.9993,2,2,1,False,0.222
V10,1235,clean,4.77,0.3256,3,1,1,False,0.227
V10,1241,clean,4.7488,0.9995,1,1,1,False,0.219
V10,1248,clean,4.7515,0.9994,2,1,1,False,0.205
V10,1254,clean,4.4983,0.9987,5,1,1,False,0.222
V10,1260,clean,6.4654,0.9997,2,1,1,False,0.219
V10,1267,clean,6.7992,0.9987,1,1,1,False,0.211
V10,1273,clean,5.8414,0.9936,5,1,1,False,0.217
V10,1279,clean,8.1028,0.9991,1,1,1,False,0.232
V10,1286,clean,8.876,0.9958,4,1,1,False,0.204
V10,1292,clean,7.083,0.9944,3,1,1,False,0.214
V10,1298,clean,6.1399,0.8672,5,1,1,False,0.209
V10,1305,clean,4.7194,0.9975,2,1,1,False,0.218
V10,1311,clean,5.8371,0.9926,2,1,1,False,0.224
V10,1317,clean,6.1356,0.9968,1,1,1,False,0.223
V10,1324,clean,5.552,0.9919,1,1,1,False,0.213
V10,2375,clean,6.0805,0.9745,6,1,1,False,0.26
V10,2381,clean,5.5317,0.9948,1,1,1,False,0.195
V10,2388,clean,5.8523,0.987,2,1,1,False,0.206
V10,2394,clean,6.0397,0.9781,4,1,1,False,0.227
V10,2400,clean,5.5589,0.9897,5,1,1,False,0.215
V10,2407,clean,6.1021,0.9958,2,1,1,False,0.215
V10,2413,clean,5.4729,0.9974,1,1,1,False,0.214
V10,2419,clean,6.0037,0.9993,5,1,1,False,0.284
V10,2426,clean,7.306,0.9997,3,1,1,False,0.214
V10,2432,clean,7.8915,0.9997,1,1,1,False,0.218
V10,2438,clean,7.177,0.9993,3,1,1,False,0.201
V10,2445,clean,6.5224,0.9971,1,1,1,False,0.209
V10,2451,clean,7.5925,0.9988,1,1,1,False,0.227
V10,2457,clean,7.5442,0.9994,3,1,1,False,0.212
V10,2464,clean,6.8671,0.9987,2,1,1,False,0.211
V10,2470,clean,7.3105,0.9996,2,1,1,False,0.216
V10,2476,clean,7.2726,0.9986,3,1,1,False,0.197
V10,2483,clean,6.3695,0.9967,3,1,1,False,0.215
V10,2489,clean,5.0631,0.9985,4,1,1,False,0.211
V10,2495,clean,6.7231,0.9857,3,1,1,False,0.216
V10,2502,clean,6.8654,0.9988,4,1,1,False,0.215
V10,2508,clean,5.903,0.9918,2,1,1,False,0.217
V10,2514,clean,6.1718,0.9954,3,1,1,False,0.205
V10,2521,clean,4.7909,0.9768,3,1,1,False,0.217
V10,2527,clean,4.8958,0.9851,1,1,1,False,0.224
V10,2533,clean,4.9114,0.4472,1,1,1,False,0.207
V10,2540,clean,4.7499,0.7616,1,1,1,False,0.205
V10,2546,clean,5.3126,0.9771,7,1,1,False,0.271
V10,2552,clean,5.7635,0.9991,5,1,1,False,0.244
V10,2559,clean,6.0425,0.9822,2,1,1,False,0.216
